"","anon_id","assignment_name","score","course_id","course_name"
"242","ona128","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"243","nas826","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"244","ido404","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"245","ale585","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"246","son417","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"247","tiz022","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"248","urt762","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"249","ing762","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"250","res645","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"251","att054","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"252","ina094","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"253","ger440","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"254","ito078","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"255","ges084","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"256","ndo136","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"257","ias015","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"258","niz799","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"259","nez498","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"260","hes301","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"261","ugh367","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"262","iaz497","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"263","ssy677","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"264","nez215","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"265","ard532","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"266","nte941","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"267","ion136","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"268","rez095","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"269","gay571","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"270","eva137","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"271","rby447","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"272","tin485","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"273","les342","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"274","ett844","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"275","agi352","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"276","lez785","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"277","vel948","Film1Activity:MotherTongues",0,"1244932","ANTH-125G F19"
"278","ard942","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"279","lan087","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"280","rza879","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"281","eed836","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"282","uez233","Film1Activity:MotherTongues",0,"1244932","ANTH-125G F19"
"283","val419","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"284","ier722","Film1Activity:MotherTongues",40,"1244932","ANTH-125G F19"
"285","man231","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"286","onn915","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"287","llo059","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"288","ers335","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"289","rez195","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"290","nte084","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"291","rez175","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"292","dom170","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"293","sco207","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"294","son736","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"295","nda257","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"296","llo278","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
